CPU,Memory,Committed VM,Free Physical Mem,Load Avg,Total Swap,Free swap,used swap,No of Read,Read Bytes,No of Writes,Write Bytes,Total disk space,Used disk space,Free disk space,File count,Total thread count,Daemon thread count,Peak thread count,Running thread count,Rx-bytes,RX-dropped,Rx-error,Rx-frames,Rx-overruns,Rx-packets,Speed,TX-Bytes,TX-Carrier,TX-Collisions,TX-Dropped,TX-Errors,TX-Overruns,TX-Packets
42,70,5444,2341,2.16,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1398304,0,0,0,0,1201,-1,114711,0,0,0,0,0,972
24,70,5444,2335,1.99,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1398304,0,0,0,0,1201,-1,114711,0,0,0,0,0,972
55,69,5444,2343,1.99,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1398533,0,0,0,0,1204,-1,115176,0,0,0,0,0,977
29,70,5444,2299,2.15,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1403165,0,0,0,0,1213,-1,116907,0,0,0,0,0,988
15,70,5444,2314,1.98,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1407843,0,0,0,0,1245,-1,129052,0,0,0,0,0,1021
17,70,5444,2310,1.82,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1407935,0,0,0,0,1246,-1,129052,0,0,0,0,0,1021
16,70,5444,2291,1.75,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1408027,0,0,0,0,1247,-1,129052,0,0,0,0,0,1021
19,71,5444,2209,1.93,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1408027,0,0,0,0,1247,-1,129052,0,0,0,0,0,1021
21,73,5444,2088,1.94,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1410005,0,0,0,0,1257,-1,131014,0,0,0,0,0,1033
27,74,5444,1962,2.42,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,1425325,0,0,0,0,1301,-1,141037,0,0,0,0,0,1088
